Age_Requirement,Residence_Requirement,Marital_Status ,Gender,Daily_Spend_SM,Most_Used_SM,Frequency_FFA,Strategy,Type_TA,Type_IR,Type_CR,Type_LTO,Influence,State_Trust
Yes,Yes,Single,Female,More than 6 hours,YouTube,Daily,Customer Reviews,,,Ratings,,Agree,Neutral
Yes,Yes,Single,Female,More than 6 hours,Instagram,Daily,Limited-Time Offers or Promotions,,,,Buy One Get One free,Agree,Agree
Yes,Yes,Single,Male,4 - 6 hours,WhatsApp,Daily,Targeted Ads,Flyers & Banners,,,,Agree,Neutral
Yes,Yes,Single,Female,1 - 3 hours,WhatsApp,Daily,Influencer Recommendation,,Content Creators,,,Agree,Disagree
Yes,Yes,Single,Female,1 - 3 hours,Facebook,Daily,Influencer Recommendation,,Content Creators,,,Agree,Neutral
Yes,Yes,Single,Female,More than 6 hours,WhatsApp,Daily,Other,,,,,Agree,Disagree
Yes,Yes,Single,Female,1 - 3 hours,Instagram,Daily,Limited-Time Offers or Promotions,,,,Discounts,Agree,Neutral
Yes,Yes,Single,Female,1 - 3 hours,YouTube,Daily,Influencer Recommendation,,Food Bloggers,,,Agree,Neutral
Yes,Yes,Single,Female,4 - 6 hours,WhatsApp,Daily,Limited-Time Offers or Promotions,,,,Buy One Get One free,Neutral,Neutral
Yes,Yes,Single,Female,1 - 3 hours,Instagram,Daily,Limited-Time Offers or Promotions,,,,Buy One Get One free,Agree,Agree
Yes,Yes,Single,Female,1 - 3 hours,YouTube,Daily,Limited-Time Offers or Promotions,,,,Discounts,Agree,Agree
Yes,Yes,Single,Female,1 - 3 hours,WhatsApp,Occasionally,Targeted Ads,Flyers & Banners,,,,Neutral,Disagree
Yes,Yes,Single,Female,1 - 3 hours,WhatsApp,Weekly,Limited-Time Offers or Promotions,,,,Buy One Get One free,Agree,Neutral
Yes,Yes,Single,Female,More than 6 hours,WhatsApp,Daily,Limited-Time Offers or Promotions,,,,Buy One Get One free,Agree,Neutral
Yes,Yes,Single,Female,4 - 6 hours,Facebook,Occasionally,Other,,,,,Agree,Neutral
Yes,Yes,Married,Male,1 - 3 hours,WhatsApp,Weekly,Other,,,,,Agree,Agree
Yes,Yes,Single,Female,1 - 3 hours,WhatsApp,Occasionally,Limited-Time Offers or Promotions,,,,Discounts,Neutral,Disagree
Yes,Yes,Single,Male,4 - 6 hours,Facebook,Daily,Influencer Recommendation,,Food Bloggers,,,Agree,Neutral
Yes,Yes,Single,Female,1 - 3 hours,YouTube,Daily,Other,,,,,Agree,Disagree
Yes,Yes,Single,Female,1 - 3 hours,TikTok,Daily,Influencer Recommendation,,Food Bloggers,,,Agree,Neutral
Yes,Yes,Single,Female,1 - 3 hours,Instagram,Daily,Influencer Recommendation,,Content Creators,,,Agree,Neutral
Yes,Yes,Single,Female,1 - 3 hours,YouTube,Daily,Limited-Time Offers or Promotions,,,,Discounts,Agree,Disagree
Yes,Yes,Single,Female,4 - 6 hours,WhatsApp,Occasionally,Targeted Ads,Flyers & Banners,,,,Agree,Neutral
Yes,Yes,Single,Female,4 - 6 hours,WhatsApp,Daily,Limited-Time Offers or Promotions,,,,Discounts,Agree,Neutral
Yes,Yes,Single,Male,4 - 6 hours,WhatsApp,Occasionally,Other,,,,,Agree,Agree
Yes,Yes,Single,Female,4 - 6 hours,WhatsApp,Daily,Influencer Recommendation,,Content Creators,,,Agree,Neutral
Yes,Yes,Single,Female,More than 6 hours,WhatsApp,Daily,Limited-Time Offers or Promotions,,,,Discounts,Agree,Neutral
Yes,Yes,Single,Female,More than 6 hours,WhatsApp,Daily,Influencer Recommendation,,Content Creators,,,Agree,Disagree
Yes,Yes,Single,Male,1 - 3 hours,YouTube,Occasionally,Limited-Time Offers or Promotions,,,,Buy One Get One free,Agree,Neutral
Yes,Yes,Single,Female,1 - 3 hours,WhatsApp,Occasionally,Influencer Recommendation,,Celebrities,,,Agree,Neutral
Yes,Yes,Single,Female,4 - 6 hours,WhatsApp,Daily,Influencer Recommendation,,Content Creators,,,Agree,Disagree
Yes,Yes,Single,Female,4 - 6 hours,WhatsApp,Weekly,Limited-Time Offers or Promotions,,,,Buy One Get One free,Disagree,Disagree
Yes,Yes,Single,Male,1 - 3 hours,WhatsApp,Weekly,Targeted Ads,Flyers & Banners,,,,Neutral,Agree
